Название видео,Тип видео,Клики по элементам конечной заставки,Показы элементов конечной заставки,Показы тизеров,Постоянные зрители,Новые зрители,Среднее число просмотров одним пользователем,Уникальные зрители,Средний процент просмотра (%),Отказались от подписки,Новые подписчики,Новые комментарии,Поделились,"Отметки ""Не нравится""","Отметки ""Нравится""",Просмотры,Время просмотра (часы),Подписчики,Показы,CTR для значков видео (%)
Дополнительные миноры и алгебраические дополнения. Тема,Тема,3.0,263.0,27.0,158.0,98.0,1.3423,260.0,45.07,0.0,2.0,0.0,1.0,2.0,4.0,349.0,19.7486,2.0,1304.0,9.97
Скалярное кратное и сумма матриц. Тема,Тема,2.0,318.0,30.0,162.0,14.0,1.3989,178.0,52.6,0.0,1.0,0.0,1.0,0.0,5.0,249.0,19.1,1.0,803.0,5.6
Линейные оболочки. Тема,Тема,1.0,249.0,31.0,184.0,123.0,1.3302,315.0,35.62,0.0,4.0,1.0,1.0,1.0,12.0,419.0,18.8646,4.0,2259.0,8.1
Якобиан. Тема,Тема,1.0,137.0,22.0,126.0,152.0,1.1942,278.0,26.08,1.0,5.0,1.0,0.0,1.0,6.0,332.0,18.6904,4.0,1582.0,12.33
Монотонные последовательности. Тема,Тема,7.0,291.0,15.0,87.0,310.0,1.2711,402.0,26.48,0.0,5.0,1.0,2.0,0.0,5.0,511.0,18.6783,5.0,1979.0,16.52
Матричное умножение. Тема,Тема,2.0,246.0,24.0,152.0,12.0,1.4545,165.0,46.19,0.0,2.0,0.0,0.0,0.0,5.0,240.0,18.384,2.0,726.0,6.2
Базис и размерность. Тема,Тема,0.0,201.0,9.0,165.0,107.0,1.2527,281.0,31.18,0.0,3.0,0.0,6.0,0.0,8.0,352.0,18.2022,3.0,2453.0,8.72
Диагонализация матрицы линейного оператора. Тема,Тема,0.0,124.0,10.0,158.0,97.0,1.327,263.0,19.68,0.0,2.0,0.0,2.0,0.0,2.0,349.0,16.964,2.0,2133.0,6.7
Скалярные и векторные поля. Тема,Тема,3.0,174.0,21.0,115.0,180.0,1.2425,301.0,26.35,0.0,5.0,0.0,4.0,1.0,6.0,374.0,16.7789,5.0,3435.0,8.01
Перестановки. Тема,Тема,2.0,149.0,6.0,93.0,163.0,1.1673,263.0,35.87,0.0,1.0,0.0,2.0,0.0,7.0,307.0,16.7322,1.0,1374.0,12.81
Вычисление ранга матрицы методом Гаусса. Тема,Тема,3.0,269.0,18.0,176.0,148.0,1.1886,334.0,39.33,0.0,0.0,0.0,2.0,0.0,6.0,397.0,16.1342,0.0,1579.0,9.18
Решение линейных систем методом Гаусса. Тема,Тема,0.0,148.0,10.0,114.0,8.0,1.3145,124.0,52.27,0.0,0.0,0.0,0.0,0.0,4.0,163.0,15.8331,0.0,465.0,5.16
Решение линейных систем методом матричного обращения. Тема,Тема,0.0,140.0,10.0,108.0,2.0,1.2455,110.0,50.45,0.0,0.0,0.0,0.0,0.0,4.0,137.0,15.1874,0.0,401.0,4.24
Ядро линейного оператора. Пример,Пример,2.0,246.0,20.0,203.0,151.0,1.3454,359.0,30.98,0.0,2.0,0.0,2.0,0.0,12.0,483.0,14.9234,2.0,2253.0,7.68
Образ линейного оператора. Пример,Пример,2.0,201.0,21.0,226.0,111.0,1.2743,339.0,29.43,0.0,0.0,0.0,3.0,0.0,8.0,432.0,14.726,0.0,2580.0,6.98
Сингулярные разложения. Пример,Пример,3.0,159.0,4.0,99.0,115.0,1.5321,218.0,27.1,0.0,1.0,0.0,3.0,0.0,6.0,334.0,14.1281,1.0,1058.0,6.9
Ортогональная проекция на подпространство. Пример,Пример,1.0,149.0,30.0,187.0,150.0,1.3538,342.0,20.87,0.0,3.0,0.0,2.0,0.0,7.0,463.0,14.1217,3.0,1745.0,7.62
Диагонализация матрицы линейного оператора. Пример,Пример,1.0,221.0,18.0,155.0,197.0,1.2598,358.0,16.98,0.0,0.0,0.0,5.0,0.0,7.0,451.0,13.808,0.0,3011.0,10.53
Вычисление обратных матриц по методу Гаусса. Тема,Тема,1.0,201.0,5.0,139.0,22.0,1.3519,162.0,45.37,0.0,0.0,0.0,0.0,0.0,3.0,219.0,13.4685,0.0,629.0,4.93
Производная по направлению. Тема,Тема,2.0,82.0,5.0,112.0,75.0,1.3057,193.0,22.63,0.0,1.0,0.0,4.0,0.0,8.0,252.0,13.4488,1.0,2037.0,8.1
Криволинейный интеграл первого рода. Тема,Тема,1.0,125.0,15.0,121.0,116.0,1.2231,242.0,25.17,0.0,2.0,0.0,3.0,1.0,6.0,296.0,13.099,2.0,2249.0,10.0
Векторные пространства. Тема,Тема,0.0,114.0,11.0,135.0,31.0,1.6391,169.0,24.55,0.0,1.0,0.0,1.0,0.0,6.0,277.0,13.0717,1.0,800.0,6.13
Сингулярные разложения. Тема,Тема,2.0,114.0,1.0,145.0,78.0,1.3094,223.0,24.11,0.0,1.0,0.0,8.0,1.0,6.0,292.0,12.2225,1.0,1782.0,8.31
Матрица квадратичной формы. Тема,Тема,2.0,229.0,25.0,167.0,197.0,1.2784,370.0,24.35,1.0,2.0,0.0,1.0,0.0,9.0,473.0,11.8066,1.0,2121.0,12.02
Матрица линейного оператора в новом базисе. Тема,Тема,0.0,140.0,13.0,188.0,142.0,1.3245,339.0,22.17,0.0,2.0,0.0,2.0,0.0,3.0,449.0,10.7,2.0,1759.0,11.43
Линейные отображения. Тема,Тема,1.0,105.0,16.0,102.0,104.0,1.3175,211.0,26.06,0.0,1.0,0.0,3.0,1.0,4.0,278.0,10.4848,1.0,1821.0,9.99
Коэффициент корреляции. Тема,Тема,2.0,117.0,8.0,66.0,230.0,1.2013,313.0,15.95,0.0,2.0,0.0,5.0,0.0,4.0,376.0,10.3423,2.0,2058.0,15.4
Случайные события. Тема,Тема,0.0,128.0,13.0,99.0,24.0,1.4032,124.0,45.39,0.0,1.0,0.0,2.0,0.0,1.0,174.0,10.2233,1.0,338.0,7.4
Собственные значения и собственные векторы. Тема,Тема,1.0,89.0,8.0,121.0,119.0,1.1878,245.0,18.48,0.0,1.0,0.0,0.0,0.0,1.0,291.0,10.0815,1.0,2458.0,7.69
Ортогональное дополнение. Пример,Пример,3.0,223.0,4.0,140.0,65.0,1.4787,211.0,26.73,0.0,1.0,1.0,3.0,0.0,3.0,312.0,9.7301,1.0,1354.0,8.71
Матрицы. Ответы,Ответы,1.0,249.0,27.0,129.0,10.0,1.3094,139.0,61.57,0.0,0.0,0.0,3.0,0.0,5.0,182.0,9.5878,0.0,863.0,6.37
Предел функции двух переменных. Тема,Тема,0.0,116.0,3.0,71.0,67.0,1.2878,139.0,32.61,0.0,0.0,0.0,0.0,0.0,3.0,179.0,9.097,0.0,1391.0,8.63
Элементарные исходы. Тема,Тема,0.0,64.0,10.0,62.0,10.0,1.2466,73.0,68.0,0.0,0.0,0.0,2.0,0.0,0.0,91.0,9.0928,0.0,302.0,7.62
Матрица линейного оператора. Тема,Тема,0.0,112.0,35.0,118.0,63.0,1.1934,181.0,25.47,0.0,1.0,0.0,4.0,0.0,2.0,216.0,9.0015,1.0,1639.0,4.45
Геометрический смысл скалярного произведения. Тема,Тема,1.0,161.0,7.0,67.0,202.0,1.1213,272.0,26.46,0.0,2.0,0.0,4.0,0.0,5.0,305.0,8.7663,2.0,728.0,14.29
Ковариация. Тема,Тема,2.0,90.0,2.0,66.0,110.0,1.2303,178.0,25.82,0.0,0.0,1.0,4.0,1.0,3.0,219.0,8.7316,0.0,1176.0,10.97
Порядок малости. Тема,Тема,2.0,166.0,9.0,36.0,146.0,1.2031,192.0,32.56,0.0,0.0,1.0,0.0,0.0,6.0,231.0,8.6905,0.0,1201.0,9.83
Гладкие кривые. Тема,Тема,1.0,53.0,5.0,93.0,65.0,1.35,160.0,16.43,0.0,0.0,0.0,3.0,0.0,8.0,216.0,8.558,0.0,719.0,8.34
Алгебра случайных событий. Тема,Тема,0.0,104.0,13.0,77.0,52.0,1.2093,129.0,44.91,0.0,0.0,0.0,0.0,0.0,0.0,156.0,8.4266,0.0,666.0,9.31
Умножение вероятностей. Тема,Тема,1.0,57.0,0.0,51.0,4.0,1.3214,56.0,61.73,0.0,0.0,0.0,0.0,0.0,0.0,74.0,8.197,0.0,222.0,4.5
Связь линейных систем и линейных оболочек. Тема,Тема,1.0,69.0,7.0,75.0,16.0,1.337,92.0,43.68,0.0,0.0,0.0,1.0,0.0,2.0,123.0,8.1194,0.0,714.0,4.06
Непрерывность функции двух переменных. Тема,Тема,3.0,163.0,7.0,94.0,49.0,1.2138,145.0,36.38,0.0,0.0,0.0,0.0,0.0,0.0,176.0,7.8782,0.0,950.0,12.21
Ядро и образ линейного оператора. Тема,Тема,0.0,88.0,5.0,117.0,34.0,1.2549,153.0,29.8,0.0,1.0,0.0,1.0,0.0,4.0,192.0,7.7888,1.0,1946.0,6.06
Пересечения и суммы подпространств. Тема,Тема,1.0,85.0,0.0,77.0,22.0,1.4257,101.0,32.94,0.0,1.0,0.0,0.0,0.0,1.0,144.0,7.7859,1.0,1287.0,7.23
Ортогональность. Тема,Тема,0.0,108.0,13.0,75.0,180.0,1.2348,264.0,21.19,0.0,1.0,0.0,6.0,0.0,3.0,326.0,7.715,1.0,1407.0,15.99
Размещения. Тема,Тема,0.0,80.0,5.0,56.0,4.0,1.3333,60.0,70.84,0.0,0.0,0.0,0.0,0.0,0.0,80.0,7.4779,0.0,321.0,6.54
Классическое определение вероятности. Тема,Тема,0.0,96.0,0.0,62.0,16.0,1.2308,78.0,64.04,0.0,0.0,0.0,0.0,0.0,0.0,96.0,7.4282,0.0,264.0,6.06
Критерий Сильвестра. Тема,Тема,0.0,109.0,3.0,86.0,66.0,1.2484,153.0,24.26,0.0,1.0,1.0,2.0,0.0,7.0,191.0,7.2838,1.0,2197.0,5.46
Матрица линейного отображения. Тема,Тема,4.0,100.0,0.0,82.0,47.0,1.291,134.0,28.45,0.0,1.0,0.0,1.0,0.0,5.0,173.0,7.0809,1.0,1212.0,7.84
Биномиальное распределение. Тема,Тема,1.0,72.0,5.0,42.0,47.0,1.1196,92.0,33.06,0.0,0.0,0.0,1.0,0.0,2.0,103.0,6.8292,0.0,711.0,7.74
Дифференцирование сложной функции. Тема,Тема,1.0,61.0,8.0,36.0,72.0,1.2364,110.0,25.92,0.0,5.0,1.0,0.0,0.0,9.0,136.0,6.6883,5.0,565.0,10.44
Математическое ожидание геометрического распределения. Тема,Тема,1.0,49.0,10.0,51.0,118.0,1.1761,176.0,23.82,0.0,0.0,0.0,3.0,2.0,2.0,207.0,6.6706,0.0,244.0,7.79
Ортогональное дополнение. Тема,Тема,2.0,115.0,13.0,83.0,6.0,1.3696,92.0,37.2,0.0,0.0,0.0,1.0,0.0,5.0,126.0,6.5357,0.0,1356.0,6.34
График функции двух переменных. Тема,Тема,0.0,0.0,0.0,56.0,83.0,1.1571,140.0,24.31,0.0,1.0,0.0,0.0,0.0,1.0,162.0,6.532,1.0,343.0,9.91
Закон распределения дискретной случайной величины. Тема,Тема,0.0,44.0,0.0,44.0,13.0,1.3276,58.0,40.44,0.0,0.0,0.0,0.0,0.0,0.0,77.0,6.5132,0.0,191.0,4.19
Сложение вероятностей в общем случае. Тема,Тема,1.0,37.0,0.0,52.0,2.0,1.1296,54.0,65.81,0.0,0.0,0.0,0.0,0.0,0.0,61.0,6.4454,0.0,225.0,4.44
Функции от матриц. Пример,Пример,0.0,60.0,11.0,72.0,142.0,1.1448,221.0,16.29,0.0,0.0,0.0,1.0,0.0,2.0,253.0,6.3313,0.0,812.0,11.82
Характеристический многочлен. Тема,Тема,2.0,82.0,7.0,84.0,99.0,1.1913,183.0,23.65,0.0,3.0,0.0,2.0,1.0,2.0,218.0,6.2593,3.0,1098.0,12.84
Сумма независимых дискретных случайных величин. Тема,Тема,1.0,41.0,5.0,41.0,67.0,1.0734,109.0,30.85,0.0,0.0,0.0,0.0,0.0,2.0,117.0,6.1158,0.0,208.0,7.21
Сочетания. Тема,Тема,1.0,89.0,5.0,56.0,6.0,1.2258,62.0,68.71,0.0,0.0,0.0,0.0,0.0,-1.0,76.0,6.0775,0.0,283.0,6.01
Замена переменных в двойном интеграле. Тема,Тема,0.0,12.0,5.0,44.0,25.0,1.3239,71.0,19.48,0.0,0.0,1.0,1.0,0.0,1.0,94.0,6.0224,0.0,495.0,8.08
Приведение квадратичной формы к каноническому виду. Пример,Пример,2.0,70.0,10.0,122.0,45.0,1.2679,168.0,18.57,0.0,2.0,0.0,0.0,0.0,3.0,213.0,6.0199,2.0,1148.0,9.49
Комбинаторный принцип умножения возможностей. Тема,Тема,0.0,88.0,5.0,56.0,13.0,1.2647,68.0,67.14,0.0,0.0,0.0,0.0,0.0,0.0,86.0,5.9827,0.0,225.0,8.89
Знакоопределенность квадратичных форм. Тема,Тема,0.0,68.0,2.0,90.0,36.0,1.3256,129.0,18.32,0.0,0.0,2.0,1.0,0.0,3.0,171.0,5.9781,0.0,1214.0,7.41
Формула Бернулли. Тема,Тема,0.0,60.0,0.0,51.0,6.0,1.1579,57.0,60.61,0.0,0.0,0.0,0.0,0.0,0.0,66.0,5.9115,0.0,248.0,4.84
Ортогональная проекция на подпространство. Тема,Тема,1.0,77.0,3.0,105.0,33.0,1.2183,142.0,23.41,0.0,0.0,0.0,1.0,1.0,2.0,173.0,5.6926,0.0,1371.0,8.1
Приведение квадратичной формы к каноническому виду. Тема,Тема,0.0,104.0,10.0,122.0,53.0,1.2057,175.0,20.49,0.0,0.0,1.0,0.0,0.0,3.0,211.0,5.6917,0.0,1587.0,9.45
Сложение вероятностей в несовместном случае. Тема,Тема,1.0,61.0,5.0,54.0,0.0,1.3148,54.0,68.28,0.0,0.0,0.0,0.0,0.0,0.0,71.0,5.6287,0.0,198.0,5.56
Геометрический смысл двойного интеграла. Тема,Тема,0.0,28.0,5.0,38.0,23.0,1.2188,64.0,32.9,0.0,2.0,0.0,0.0,0.0,1.0,78.0,5.4882,2.0,454.0,11.23
Формула полной вероятности. Тема,Тема,0.0,64.0,0.0,54.0,5.0,1.3898,59.0,51.32,0.0,0.0,0.0,0.0,0.0,0.0,82.0,5.4126,0.0,277.0,6.14
Полная матричная алгебра. Ответы,Ответы,0.0,152.0,10.0,96.0,3.0,1.2626,99.0,48.79,0.0,0.0,0.0,0.0,0.0,2.0,125.0,5.2179,0.0,599.0,5.84
Процесс ортогонализации Грама-Шмидта. Тема,Тема,0.0,84.0,16.0,77.0,17.0,1.2784,97.0,31.17,1.0,0.0,0.0,1.0,0.0,2.0,124.0,5.196,-1.0,1154.0,7.19
Формулы Бейеса. Тема,Тема,0.0,44.0,0.0,52.0,0.0,1.3077,52.0,61.84,0.0,1.0,0.0,0.0,0.0,0.0,68.0,5.1625,1.0,175.0,5.14
Свойства определителей. Ответы,Ответы,0.0,148.0,7.0,86.0,2.0,1.2727,88.0,49.77,0.0,0.0,0.0,0.0,0.0,1.0,112.0,5.0938,0.0,657.0,5.78
Разложение по базису. Тема,Тема,0.0,90.0,0.0,46.0,17.0,1.3077,65.0,38.42,0.0,1.0,0.0,2.0,1.0,1.0,85.0,5.0894,1.0,577.0,5.72
Критерий линейной зависимости. Тема,Тема,0.0,92.0,12.0,72.0,31.0,1.2019,104.0,43.36,0.0,1.0,0.0,1.0,0.0,1.0,125.0,5.0737,1.0,596.0,8.22
Пересечение подпространств. Пример,Пример,1.0,81.0,0.0,77.0,33.0,1.4545,110.0,24.14,0.0,0.0,0.0,1.0,0.0,2.0,160.0,5.0647,0.0,915.0,7.65
Датафреймы pandas. Чтение датафреймов из файлов csv,Другое,1.0,49.0,0.0,19.0,106.0,1.2441,127.0,17.58,0.0,0.0,1.0,1.0,0.0,3.0,158.0,5.0475,0.0,963.0,11.94
Последовательности. Тема,Тема,1.0,71.0,4.0,71.0,25.0,1.5979,97.0,21.14,0.0,0.0,0.0,1.0,0.0,2.0,155.0,4.8339,0.0,356.0,7.87
Криволинейные интегралы второго рода. Тема,Тема,1.0,65.0,22.0,70.0,41.0,1.1727,110.0,25.08,0.0,0.0,0.0,0.0,0.0,1.0,129.0,4.6548,0.0,956.0,9.83
Необходимое условие дифференцируемости. Тема,Тема,1.0,56.0,1.0,46.0,29.0,1.1579,76.0,37.9,0.0,0.0,0.0,1.0,0.0,5.0,88.0,4.632,0.0,528.0,10.04
Линейная регрессия. Постановка задачи,Другое,0.0,0.0,0.0,60.0,49.0,1.4404,109.0,21.9,0.0,1.0,0.0,0.0,0.0,1.0,157.0,4.5936,1.0,801.0,8.86
Предел последовательности. Тема,Тема,2.0,66.0,0.0,41.0,6.0,1.3265,49.0,36.98,0.0,0.0,0.0,0.0,0.0,-1.0,65.0,4.4674,0.0,640.0,6.56
Частные производные. Тема,Тема,0.0,44.0,2.0,29.0,15.0,1.3636,44.0,38.64,0.0,1.0,0.0,0.0,0.0,1.0,60.0,4.457,1.0,330.0,6.97
Функции от матриц. Тема,Тема,1.0,65.0,9.0,36.0,169.0,1.128,211.0,14.64,0.0,0.0,0.0,2.0,0.0,0.0,238.0,4.4126,0.0,692.0,10.55
Геометрическое распределение. Тема,Тема,1.0,65.0,0.0,39.0,29.0,1.1389,72.0,38.29,0.0,0.0,0.0,0.0,0.0,0.0,82.0,4.3782,0.0,454.0,9.03
Криволинейные координаты. Тема,Тема,2.0,34.0,0.0,39.0,34.0,1.2568,74.0,22.39,0.0,2.0,0.0,0.0,1.0,2.0,93.0,4.3377,2.0,402.0,12.69
Свойства математического ожидания. Тема,Тема,0.0,36.0,7.0,28.0,26.0,1.2321,56.0,32.57,0.0,0.0,0.0,0.0,-1.0,3.0,69.0,4.3326,0.0,296.0,14.53
Вычисление определителей по методу Гаусса. Ответы,Ответы,1.0,161.0,5.0,103.0,18.0,1.1855,124.0,44.16,0.0,0.0,0.0,1.0,0.0,2.0,147.0,4.2557,0.0,739.0,7.58
Матрицы. Вопросы,Вопросы,3.0,267.0,27.0,141.0,5.0,1.3767,146.0,59.5,0.0,0.0,0.0,1.0,0.0,5.0,201.0,4.2193,0.0,1031.0,3.98
Интерполяция в форме Эрмита. Тема,Тема,0.0,28.0,3.0,32.0,35.0,1.3731,67.0,19.36,0.0,1.0,0.0,1.0,0.0,2.0,92.0,4.1556,1.0,375.0,9.33
Односторонние пределы. Тема,Тема,1.0,37.0,0.0,34.0,44.0,1.2593,81.0,26.79,0.0,0.0,0.0,7.0,0.0,2.0,102.0,3.9856,0.0,515.0,10.1
Линейная регрессия. Оценка качества модели,Другое,0.0,72.0,0.0,32.0,33.0,1.303,66.0,32.15,0.0,1.0,1.0,1.0,0.0,2.0,86.0,3.9018,1.0,782.0,7.42
Скалярные поля. Пример,Пример,1.0,33.0,10.0,34.0,28.0,1.2698,63.0,28.74,0.0,2.0,0.0,2.0,0.0,-1.0,80.0,3.8899,2.0,760.0,5.0
Приведение кривой второго порядка к каноническому виду. Еще один пример,Пример,0.0,20.0,0.0,65.0,2.0,1.4348,69.0,10.35,0.0,0.0,0.0,1.0,0.0,2.0,99.0,3.8373,0.0,1139.0,5.0
Ортогональные операторы. Тема,Тема,2.0,58.0,0.0,71.0,19.0,1.25,92.0,23.51,0.0,0.0,0.0,0.0,0.0,1.0,115.0,3.7857,0.0,989.0,8.7
Исследования функций. Пример,Пример,1.0,45.0,0.0,57.0,23.0,1.1446,83.0,16.68,0.0,0.0,0.0,0.0,0.0,1.0,95.0,3.7368,0.0,1891.0,3.49
Вычисление криволинейного интеграла первого рода в явном случае. Тема,Тема,0.0,12.0,5.0,34.0,1.0,1.4722,36.0,32.63,0.0,0.0,0.0,1.0,0.0,2.0,53.0,3.6946,0.0,438.0,9.82
Определение производной. Тема,Тема,1.0,41.0,0.0,37.0,13.0,1.28,50.0,30.98,0.0,3.0,0.0,0.0,0.0,2.0,64.0,3.674,3.0,294.0,5.44
Равномерное распределение. Тема,Тема,0.0,64.0,1.0,35.0,15.0,1.1731,52.0,53.46,0.0,0.0,0.0,1.0,0.0,-2.0,61.0,3.6504,0.0,265.0,10.19
Вычисление ранга матрицы методом Гаусса. Ответы,Ответы,0.0,136.0,4.0,80.0,38.0,1.1322,121.0,45.01,0.0,0.0,0.0,0.0,0.0,1.0,137.0,3.6312,0.0,606.0,7.26
Дифференциал. Тема,Тема,0.0,35.0,0.0,20.0,14.0,1.3235,34.0,40.71,0.0,1.0,0.0,0.0,0.0,-1.0,45.0,3.5874,1.0,593.0,4.55
Датафреймы pandas. Удаление строк,Другое,3.0,110.0,0.0,13.0,92.0,1.2453,106.0,39.08,0.0,1.0,0.0,1.0,0.0,1.0,132.0,3.5541,1.0,478.0,9.0
Среднее квадратичное отклонение. Тема,Тема,0.0,44.0,4.0,25.0,79.0,1.1111,108.0,27.1,0.0,2.0,0.0,0.0,0.0,2.0,120.0,3.4592,2.0,398.0,9.8
Ограниченные последовательности. Ответы,Ответы,0.0,88.0,0.0,58.0,23.0,1.2169,83.0,34.05,0.0,0.0,0.0,0.0,0.0,1.0,101.0,3.4583,0.0,630.0,8.73
Свойства дисперсии. Тема,Тема,1.0,29.0,1.0,22.0,21.0,1.1915,47.0,36.34,0.0,1.0,0.0,0.0,0.0,1.0,56.0,3.4372,1.0,409.0,8.56
Ортогональная проекция и ортогональная составляющая. Пример,Пример,0.0,48.0,0.0,99.0,16.0,1.3077,117.0,19.76,0.0,0.0,0.0,2.0,0.0,4.0,153.0,3.4177,0.0,1537.0,6.31
Двумерные дискретные случайные величины. Тема,Тема,0.0,28.0,8.0,41.0,42.0,1.3605,86.0,15.15,0.0,0.0,0.0,1.0,0.0,3.0,117.0,3.3628,0.0,510.0,10.2
Матричное умножение. Ответы,Ответы,1.0,133.0,0.0,85.0,1.0,1.3023,86.0,35.27,0.0,0.0,0.0,0.0,0.0,1.0,112.0,3.303,0.0,663.0,5.88
Обратные матрицы. Ответы,Ответы,0.0,72.0,0.0,69.0,1.0,1.2857,70.0,38.25,0.0,0.0,0.0,0.0,0.0,1.0,90.0,3.2892,0.0,515.0,5.24
Формула для вычисления дисперсии. Ответы,Ответы,1.0,89.0,5.0,23.0,162.0,1.0704,199.0,27.89,0.0,0.0,0.0,6.0,0.0,0.0,213.0,3.284,0.0,159.0,3.77
Замена базиса. Ответы,Ответы,0.0,35.0,0.0,26.0,1.0,1.4286,28.0,40.5,0.0,0.0,0.0,0.0,0.0,2.0,40.0,3.2673,0.0,509.0,5.11
Масса плоской пластины. Ответы,Ответы,0.0,52.0,0.0,32.0,75.0,1.2936,109.0,26.99,0.0,1.0,0.0,1.0,0.0,4.0,141.0,3.2558,1.0,339.0,21.24
Дисперсия геометрического распределения. Тема,Тема,0.0,20.0,0.0,34.0,27.0,1.2462,65.0,26.09,0.0,1.0,0.0,0.0,0.0,2.0,81.0,3.1998,1.0,260.0,6.92
